option	kind	default	family	object	depends	source	help	role	n_values	in_build
pc_hypre_boomeramg_ilu_max_nnz_per_row	int	0	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1061	Set maximum NNZ per row	tuning		yes
pc_hypre_boomeramg_ilu_maxiter	int	0	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1065	Set ILU max iterations	tuning		yes
pc_hypre_boomeramg_ilu_print_level	int	0	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1049	Set ILU print level	diagnostic		yes
pc_hypre_boomeramg_ilu_tri_solve	bool	PETSC_FALSE	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1073	Enable triangular solve	tuning		yes
pc_hypre_boomeramg_ilu_type	enum	PETSC_STATIC_ARRAY_LENGTH(HYPREILUType)	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1029	Choose ILU Type	tuning	46	yes
pc_hypre_boomeramg_ilu_upper_jacobi_iters	int	0	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1081	Set upper Jacobi iteration count	tuning		yes
pc_hypre_boomeramg_interp_refine	int	jac->interp_refine	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:987	Preprocess the interpolation matrix through iterative weight refinement	tuning		yes
pc_hypre_boomeramg_interp_type	enum	PETSC_STATIC_ARRAY_LENGTH(HYPREBoomerAMG	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1275	Interpolation type	tuning	19	yes
pc_hypre_boomeramg_keeptranspose	bool	jac->keeptranspose	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1310	Avoid transpose matvecs in preconditioner application	tuning		yes
pc_hypre_boomeramg_max_coarse_size	int	jac->maxc	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1186	Maximum size of coarsest grid	tuning		yes
pc_hypre_boomeramg_max_iter	int	jac->maxiter	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:941	Maximum iterations used PER hypre call	tuning		yes
pc_hypre_boomeramg_max_levels	int	jac->maxlevels	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:939	Number of levels (of grids) allowed	tuning		yes
pc_hypre_boomeramg_max_row_sum	real	jac->maxrowsum	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:964	Maximum row sum	tuning		yes
pc_hypre_boomeramg_measure_type	enum	PETSC_STATIC_ARRAY_LENGTH(HYPREBoomerAMG	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1174	Measure type	tuning	2	yes
pc_hypre_boomeramg_min_coarse_size	int	jac->minc	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1188	Minimum size of coarsest grid	tuning		yes
pc_hypre_boomeramg_no_CF	bool	PETSC_FALSE	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1168	Do not use CF-relaxation	tuning		yes
pc_hypre_boomeramg_nodal_coarsen	int	jac->nodal_coarsening	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:977	Use a nodal based coarsening 1-6	tuning		yes
pc_hypre_boomeramg_nodal_coarsen_diag	int	jac->nodal_coarsening_diag	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:979	Diagonal in strength matrix for nodal based coarsening 0-2	tuning		yes
pc_hypre_boomeramg_nodal_relaxation	bool	PETSC_FALSE	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1299	Nodal relaxation via Schwarz	tuning		yes
pc_hypre_boomeramg_numfunctions	int	bs	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:947	Number of functions	tuning		yes
pc_hypre_boomeramg_outer_relax_weight_all	real	jac->outerrelaxweight	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1152	Outer relaxation weight for all levels (-k = determined with k CG steps)	tuning		yes
pc_hypre_boomeramg_outer_relax_weight_level	array		hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1160	Set the outer relaxation weight for a particular level (weight,level)	tuning		yes
pc_hypre_boomeramg_parasails_sym	enum	PETSC_STATIC_ARRAY_LENGTH(symtlist)	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1314	Symmetry of matrix and preconditioner	tuning	3	yes
pc_hypre_boomeramg_postrelax	array		hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1226	Defines postrelax scheme	tuning		yes
pc_hypre_boomeramg_prerelax	array		hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1225	Defines prerelax scheme	tuning		yes
pc_hypre_boomeramg_print_debug	bool	&flg	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1290	Print debug information	diagnostic		yes
pc_hypre_boomeramg_print_statistics	bool	&flg	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1281	Print statistics	diagnostic		yes
pc_hypre_boomeramg_relax_type_all	enum	PETSC_STATIC_ARRAY_LENGTH(HYPREBoomerAMG	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1111	Relax type for the up and down cycles	tuning	19	yes
pc_hypre_boomeramg_relax_type_coarse	enum	PETSC_STATIC_ARRAY_LENGTH(HYPREBoomerAMG	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1129	Relax type on coarse grid	tuning	19	yes
pc_hypre_boomeramg_relax_type_down	enum	PETSC_STATIC_ARRAY_LENGTH(HYPREBoomerAMG	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1119	Relax type for the down cycles	tuning	19	yes
pc_hypre_boomeramg_relax_type_up	enum	PETSC_STATIC_ARRAY_LENGTH(HYPREBoomerAMG	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1124	Relax type for the up cycles	tuning	19	yes
pc_hypre_boomeramg_relax_weight_all	real	jac->relaxweight	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1136	Relaxation weight for all levels (0 = hypre estimates, -k = determined with k CG steps)	tuning		yes
pc_hypre_boomeramg_relax_weight_level	array		hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1144	Set the relaxation weight for a particular level (weight,level)	tuning		yes
pc_hypre_boomeramg_restriction_type	int	jac->Rtype	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1202	Type of AIR method (distance 1 or 2, 0 means no AIR)	tuning		yes
pc_hypre_boomeramg_smooth_num_levels	int	25	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1015	Number of levels on which more complex smoothers are used	tuning		yes
pc_hypre_boomeramg_smooth_num_sweeps	int	1	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1022	Set number of smoother sweeps	tuning		yes
pc_hypre_boomeramg_smooth_type	enum	PETSC_STATIC_ARRAY_LENGTH(HYPREBoomerAMG	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1006	Enable more complex smoothers	tuning	5	yes
pc_hypre_boomeramg_strong_threshold	real	jac->strongthreshold	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:962	Threshold for being strongly connected	tuning		yes
pc_hypre_boomeramg_strongthresholdR	real	jac->Rstrongthreshold	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1214	Threshold for R	tuning		yes
pc_hypre_boomeramg_tol	real	jac->tol	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:943	Convergence tolerance PER hypre call (0.0 = use a fixed number of iterations)	tuning		yes
pc_hypre_boomeramg_truncfactor	real	jac->truncfactor	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:950	Truncation factor for interpolation (0=no truncation)	tuning		yes
pc_hypre_boomeramg_vec_interp_qmax	int	jac->vec_interp_qmax	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:983	Max elements per row for each Q	tuning		yes
pc_hypre_boomeramg_vec_interp_smooth	bool	jac->vec_interp_smooth	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:985	Whether to smooth the interpolation vectors	tuning		yes
pc_hypre_boomeramg_vec_interp_variant	int	jac->vec_interp_variant	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:981	Variant of algorithm 1-3	tuning		yes
pc_hypre_euclid_bj	bool	eu_bj	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:814	Use Block Jacobi for ILU in Euclid	tuning		yes
pc_hypre_euclid_droptolerance	real	jac->eu_droptolerance	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:805	Drop tolerance for ILU(k) in Euclid	tuning		yes
pc_hypre_euclid_level	int	jac->eu_level	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:802	Factorization levels	tuning		yes
pc_hypre_ilu_drop_threshold	real	0	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:723	Drop threshold for ILU	tuning		yes
pc_hypre_ilu_iterative_setup_maxiter	int	0	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:691	Set ILU iterative setup maximum iteration count	tuning		yes
pc_hypre_ilu_iterative_setup_option	int	0	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:687	Set ILU iterative setup option	tuning		yes
pc_hypre_ilu_iterative_setup_tolerance	real	0	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:695	Set ILU iterative setup tolerance	tuning		yes
pc_hypre_ilu_iterative_setup_type	enum	PETSC_STATIC_ARRAY_LENGTH(HYPREILUIterSe	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:683	Set ILU iterative setup type	tuning	5	yes
pc_hypre_ilu_level	int	0	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:707	Set ILU level	tuning		yes
pc_hypre_ilu_local_reordering	bool	PETSC_FALSE	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:739	Enable local reordering	tuning		yes
pc_hypre_ilu_logging	int	0	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:703	Set ILU logging level	diagnostic		yes
pc_hypre_ilu_lower_jacobi_iters	int	0	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:731	Set lower Jacobi iteration count	tuning		yes
pc_hypre_ilu_max_nnz_per_row	int	0	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:711	Set maximum NNZ per row	tuning		yes
pc_hypre_ilu_maxiter	int	0	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:719	Set ILU max iterations	tuning		yes
pc_hypre_ilu_print_level	int	0	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:699	Set ILU print level	diagnostic		yes
pc_hypre_ilu_tol	real	0	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:715	Tolerance for ILU	tuning		yes
pc_hypre_ilu_tri_solve	bool	PETSC_FALSE	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:727	Enable triangular solve	tuning		yes
pc_hypre_ilu_type	enum	PETSC_STATIC_ARRAY_LENGTH(HYPREILUType)	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:679	Choose ILU Type	tuning	46	yes
pc_hypre_ilu_upper_jacobi_iters	int	0	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:735	Set upper Jacobi iteration count	tuning		yes
pc_hypre_parasails_filter	real	jac->filter	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1475	filter	tuning		yes
pc_hypre_parasails_loadbal	real	jac->loadbal	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1478	Load balance	tuning		yes
pc_hypre_parasails_logging	bool	(PetscBool)jac->logging	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1481	Print info to screen	diagnostic		yes
pc_hypre_parasails_nlevels	int	jac->nlevels	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1471	Number of number of levels	tuning		yes
pc_hypre_parasails_reuse	bool	(PetscBool)jac->ruse	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1484	Reuse nonzero pattern in preconditioner	tuning		yes
pc_hypre_parasails_sym	enum	PETSC_STATIC_ARRAY_LENGTH(symtlist)	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1487	Symmetry of matrix and preconditioner	tuning	3	yes
pc_hypre_parasails_thresh	real	jac->threshold	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1472	Threshold	tuning		yes
pc_hypre_pilut_factorrowsize	int	jac->factorrowsize	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:622	FactorRowSize	tuning		yes
pc_hypre_pilut_maxiter	int	jac->maxiter	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:618	Number of iterations	tuning		yes
pc_hypre_pilut_tol	real	jac->tol	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:620	Drop tolerance	tuning		yes
pc_hypre_type	enum	PETSC_STATIC_ARRAY_LENGTH(type)	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:2482	HYPRE preconditioner type	tuning	7	yes
pc_mg_galerkin_mat_product_algorithm	enum	PETSC_STATIC_ARRAY_LENGTH(PCHYPRESpgemmT	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:1192	Type of SpGEMM to use in hypre (only for now)	tuning	2	yes
pc_pfmg_its	int	ex->its	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:2765	Number of iterations of PFMG to use as preconditioner	tuning		yes
pc_pfmg_max_levels	int	ex->max_levels	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:2772	Max Levels for MG hierarchy	tuning		yes
pc_pfmg_num_post_relax	int	ex->num_post_relax	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:2769	Number of smoothing steps after coarse grid	tuning		yes
pc_pfmg_num_pre_relax	int	ex->num_pre_relax	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:2767	Number of smoothing steps before coarse grid	tuning		yes
pc_pfmg_print_statistics	bool	ex->print_statistics	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:2764	Print statistics	diagnostic		yes
pc_pfmg_rap_type	enum	PETSC_STATIC_ARRAY_LENGTH(PFMGRAPType)	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:2779	RAP type	tuning	2	yes
pc_pfmg_relax_type	enum	PETSC_STATIC_ARRAY_LENGTH(PFMGRelaxType)	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:2777	Relax type for the up and down cycles	tuning	4	yes
pc_pfmg_skip_relax	int	ex->skip_relax	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:2781	Skip relaxation on certain grids for isotropic problems. This can greatly improve efficiency by eliminating unnecessary 	tuning		yes
pc_pfmg_tol	real	ex->tol	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:2775	Tolerance of PFMG	tuning		yes
pc_smg_its	int	ex->its	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:3213	Number of iterations of SMG to use as preconditioner	tuning		yes
pc_smg_num_post_relax	int	ex->num_post_relax	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:3215	Number of smoothing steps after coarse grid	tuning		yes
pc_smg_num_pre_relax	int	ex->num_pre_relax	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:3214	Number of smoothing steps before coarse grid	tuning		yes
pc_smg_tol	real	ex->tol	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:3216	Tolerance of SMG	tuning		yes
pc_syspfmg_its	int	ex->its	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:2987	Number of iterations of SysPFMG to use as preconditioner	tuning		yes
pc_syspfmg_num_post_relax	int	ex->num_post_relax	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:2991	Number of smoothing steps after coarse grid	tuning		yes
pc_syspfmg_num_pre_relax	int	ex->num_pre_relax	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:2989	Number of smoothing steps before coarse grid	tuning		yes
pc_syspfmg_print_statistics	bool	flg	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:2985	Print statistics	diagnostic		yes
pc_syspfmg_relax_type	enum	PETSC_STATIC_ARRAY_LENGTH(SysPFMGRelaxTy	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:2996	Relax type for the up and down cycles	tuning	2	yes
pc_syspfmg_tol	real	ex->tol	hypre	hypre	pc_type=hypre	src/ksp/pc/impls/hypre/hypre.c:2994	Tolerance of SysPFMG	tuning		yes
dm_swarm_num_species	int	Ns	ksp	dmproject		src/ksp/ksp/utils/dm/dmproject.c:755	The number of species	tuning		yes
dm_swarm_print_coords	int	0	ksp	dmproject		src/ksp/ksp/utils/dm/dmproject.c:757	Debug output level for particle coordinate computations	diagnostic		yes
dm_swarm_print_weights	int	0	ksp	dmproject		src/ksp/ksp/utils/dm/dmproject.c:758	Debug output level for particle weight computations	diagnostic		yes
ksp_agmres_DeflPrecond	bool	agmres->DeflPrecond	ksp	agmres	ksp_type=gmres|fgmres|lgmres|dgmres|pgmres|agmres	src/ksp/ksp/impls/gmres/agmres/agmres.c:572	Determine if the deflation should be applied as a preconditioner -- similar to KSP DGMRES	tuning		yes
ksp_agmres_MaxRatio	real	agmres->bgv	ksp	agmres	ksp_type=gmres|fgmres|lgmres|dgmres|pgmres|agmres	src/ksp/ksp/impls/gmres/agmres/agmres.c:575	Relaxation parameter in the adaptive strategy; Largest multiple of the remaining number of steps allowed	tuning		yes
ksp_agmres_MinRatio	real	agmres->smv	ksp	agmres	ksp_type=gmres|fgmres|lgmres|dgmres|pgmres|agmres	src/ksp/ksp/impls/gmres/agmres/agmres.c:574	Relaxation parameter in the adaptive strategy; smallest multiple of the remaining number of steps allowed	tuning		yes
ksp_agmres_eigen	int	agmres->neig	ksp	agmres	ksp_type=gmres|fgmres|lgmres|dgmres|pgmres|agmres	src/ksp/ksp/impls/gmres/agmres/agmres.c:564	Number of eigenvalues to deflate	tuning		yes
ksp_agmres_maxeigen	int	agmres->max_neig	ksp	agmres	ksp_type=gmres|fgmres|lgmres|dgmres|pgmres|agmres	src/ksp/ksp/impls/gmres/agmres/agmres.c:569	Maximum number of eigenvalues to deflate	tuning		yes
ksp_agmres_ritz	bool	agmres->ritz	ksp	agmres	ksp_type=gmres|fgmres|lgmres|dgmres|pgmres|agmres	src/ksp/ksp/impls/gmres/agmres/agmres.c:573	Compute the Ritz vectors instead of the Harmonic Ritz vectors	tuning		yes
ksp_atol	real	ksp->abstol	ksp	itcl		src/ksp/ksp/interface/itcl.c:422	Absolute value of residual norm	tuning		yes
ksp_bcgsl_cxpoly	bool	flga	ksp	bcgsl	ksp_type=bcgsl	src/ksp/ksp/impls/bcgsl/bcgsl.c:472	Polynomial part of BiCGStabL is MinRes + OR	tuning		yes
ksp_bcgsl_ell	int	bcgsl->ell	ksp	bcgsl	ksp_type=bcgsl	src/ksp/ksp/impls/bcgsl/bcgsl.c:468	Number of Krylov search directions	tuning		yes
ksp_bcgsl_mrpoly	bool	flg	ksp	bcgsl	ksp_type=bcgsl	src/ksp/ksp/impls/bcgsl/bcgsl.c:477	Polynomial part of BiCGStabL is MinRes	tuning		yes
ksp_bcgsl_pinv	bool	flg	ksp	bcgsl	ksp_type=bcgsl	src/ksp/ksp/impls/bcgsl/bcgsl.c:487	Polynomial correction via pseudoinverse	tuning		yes
ksp_bcgsl_xres	real	bcgsl->delta	ksp	bcgsl	ksp_type=bcgsl	src/ksp/ksp/impls/bcgsl/bcgsl.c:482	Threshold used to decide when to refresh computed residuals	tuning		yes
ksp_cg_dtype	enum	STCG_DIRECTION_TYPES	ksp	stcg	ksp_type=cg	src/ksp/ksp/impls/cg/stcg/stcg.c:587	Norm used for direction	tuning		yes
ksp_cg_dtype	enum	NASH_DIRECTION_TYPES	ksp	nash	ksp_type=cg	src/ksp/ksp/impls/cg/nash/nash.c:567	Norm used for direction	tuning		yes
ksp_cg_dtype	enum	GLTR_DIRECTION_TYPES	ksp	gltr	ksp_type=cg	src/ksp/ksp/impls/cg/gltr/gltr.c:985	Norm used for direction	tuning		yes
ksp_cg_gltr_eigen_tol	real	cg->eigen_tol	ksp	gltr	ksp_type=cg	src/ksp/ksp/impls/cg/gltr/gltr.c:988	Eigenvalue tolerance	tuning		yes
ksp_cg_gltr_init_pert	real	cg->init_pert	ksp	gltr	ksp_type=cg	src/ksp/ksp/impls/cg/gltr/gltr.c:987	Initial perturbation	tuning		yes
ksp_cg_gltr_max_lanczos_its	int	cg->max_lanczos_its	ksp	gltr	ksp_type=cg	src/ksp/ksp/impls/cg/gltr/gltr.c:991	Maximum Lanczos Iters	tuning		yes
ksp_cg_gltr_max_newton_its	int	cg->max_newton_its	ksp	gltr	ksp_type=cg	src/ksp/ksp/impls/cg/gltr/gltr.c:992	Maximum Newton Iters	tuning		yes
ksp_cg_gltr_newton_tol	real	cg->newton_tol	ksp	gltr	ksp_type=cg	src/ksp/ksp/impls/cg/gltr/gltr.c:989	Newton tolerance	tuning		yes
ksp_cg_radius	real	cg->radius	ksp	stcg	ksp_type=cg	src/ksp/ksp/impls/cg/stcg/stcg.c:586	Trust Region Radius	tuning		yes
ksp_cg_radius	real	cg->radius	ksp	nash	ksp_type=cg	src/ksp/ksp/impls/cg/nash/nash.c:565	Trust Region Radius	tuning		yes
ksp_cg_radius	real	cg->radius	ksp	gltr	ksp_type=cg	src/ksp/ksp/impls/cg/gltr/gltr.c:983	Trust Region Radius	tuning		yes
ksp_cg_single_reduction	bool	cg->singlereduction	ksp	cg	ksp_type=cg	src/ksp/ksp/impls/cg/cg.c:592	Merge inner products into single MPI_Allreduce()	tuning		yes
ksp_cg_type	enum	(PetscEnum)cg->type	ksp	cg	ksp_type=cg	src/ksp/ksp/impls/cg/cg.c:590	Matrix is Hermitian or complex symmetric	tuning	2	not found
ksp_chebyshev_eigenvalues	array		ksp	cheby	ksp_type=chebyshev	src/ksp/ksp/impls/cheby/cheby.c:353	extreme eigenvalues	tuning		yes
ksp_chebyshev_esteig	array		ksp	cheby	ksp_type=chebyshev	src/ksp/ksp/impls/cheby/cheby.c:358	None	tuning		yes
ksp_chebyshev_esteig_noisy	bool	cheb->usenoisy	ksp	cheby	ksp_type=chebyshev	src/ksp/ksp/impls/cheby/cheby.c:382	Use noisy random number generated right-hand side for estimate	tuning		yes
ksp_chebyshev_esteig_steps	int	cheb->eststeps	ksp	cheby	ksp_type=chebyshev	src/ksp/ksp/impls/cheby/cheby.c:352	Number of est steps in Chebyshev	tuning		yes
ksp_chebyshev_kind	enum	(PetscEnum)cheb->chebykind	ksp	cheby	ksp_type=chebyshev	src/ksp/ksp/impls/cheby/cheby.c:376	Type of Chebyshev polynomial	tuning	3	yes
ksp_check_norm_iteration	int	ksp->chknorm	ksp	itcl		src/ksp/ksp/interface/itcl.c:478	First iteration to compute residual norm	diagnostic		yes
ksp_constant_null_space	bool	PETSC_FALSE	ksp	itcl		src/ksp/ksp/interface/itcl.c:490	Add constant null space to Krylov solver matrix	tuning		yes
ksp_converged_maxits	bool	PETSC_FALSE	ksp	itcl		src/ksp/ksp/interface/itcl.c:432	Declare convergence if the maximum number of iterations is reached	tuning		yes
ksp_converged_neg_curve	bool	flag	ksp	itcl		src/ksp/ksp/interface/itcl.c:435	Declare convergence if negative curvature is detected	tuning		yes
ksp_converged_reason_view_cancel	bool	PETSC_FALSE	ksp	itcl		src/ksp/ksp/interface/itcl.c:393	Cancel all the converged reason view functions set using KSPConvergedReasonViewSet	diagnostic		yes
ksp_converged_use_initial_residual_norm	bool	PETSC_FALSE	ksp	itcl		src/ksp/ksp/interface/itcl.c:428	Use initial residual norm for computing relative convergence	tuning		yes
ksp_converged_use_min_initial_residual_norm	bool	PETSC_FALSE	ksp	itcl		src/ksp/ksp/interface/itcl.c:430	Use minimum of initial residual norm and b for computing relative convergence	tuning		yes
ksp_convergence_test	enum	3	ksp	itcl		src/ksp/ksp/interface/itcl.c:457	Convergence test	diagnostic	3	yes
ksp_dgmres_eigen	int	dgmres->neig	ksp	dgmres	ksp_type=gmres|fgmres|lgmres|dgmres|pgmres|agmres	src/ksp/ksp/impls/gmres/dgmres/dgmres.c:530	Number of smallest eigenvalues to extract at each restart	tuning		yes
ksp_dgmres_force	bool	"""KSPDGMRESForce"""	ksp	dgmres	ksp_type=gmres|fgmres|lgmres|dgmres|pgmres|agmres	src/ksp/ksp/impls/gmres/dgmres/dgmres.c:536	None	tuning		yes
ksp_dgmres_improve	bool	dgmres->improve	ksp	dgmres	ksp_type=gmres|fgmres|lgmres|dgmres|pgmres|agmres	src/ksp/ksp/impls/gmres/dgmres/dgmres.c:535	Improve the computation of eigenvalues by solving a new generalized eigenvalue problem (experimental - not stable at thi	tuning		yes
ksp_dgmres_max_eigen	int	dgmres->max_neig	ksp	dgmres	ksp_type=gmres|fgmres|lgmres|dgmres|pgmres|agmres	src/ksp/ksp/impls/gmres/dgmres/dgmres.c:532	Maximum Number of smallest eigenvalues to extract	tuning		yes
ksp_dgmres_ratio	real	dgmres->smv	ksp	dgmres	ksp_type=gmres|fgmres|lgmres|dgmres|pgmres|agmres	src/ksp/ksp/impls/gmres/dgmres/dgmres.c:534	Relaxation parameter for the smaller number of matrix-vectors product allowed	tuning		yes
ksp_diagonal_scale	bool	flag	ksp	itcl		src/ksp/ksp/interface/itcl.c:405	Diagonal scale matrix before building preconditioner	tuning		yes
ksp_diagonal_scale_fix	bool	flag	ksp	itcl		src/ksp/ksp/interface/itcl.c:408	Fix diagonally scaled matrix after solve	tuning		yes
ksp_divtol	real	ksp->divtol	ksp	itcl		src/ksp/ksp/interface/itcl.c:423	Residual norm increase cause divergence	tuning		yes
ksp_error_if_not_converged	bool	ksp->errorifnotconverged	ksp	itcl		src/ksp/ksp/interface/itcl.c:388	Generate error if solver does not converge	diagnostic		yes
ksp_fcg_mmax	int	fcg->mmax	ksp	fcg	ksp_type=fcg	src/ksp/ksp/impls/fcg/fcg.c:494	Maximum number of search directions to store	tuning		yes
ksp_fcg_nprealloc	int	fcg->nprealloc	ksp	fcg	ksp_type=fcg	src/ksp/ksp/impls/fcg/fcg.c:496	Number of directions to preallocate	tuning		yes
ksp_fcg_truncation_type	enum	(PetscEnum)fcg->truncstrat	ksp	fcg	ksp_type=fcg	src/ksp/ksp/impls/fcg/fcg.c:498	Truncation approach for directions	tuning	2	yes
ksp_fetidp_check	bool	fetidp->check	ksp	fetidp	ksp_type=fetidp	src/ksp/ksp/impls/fetidp/fetidp.c:1289	Activates verbose debugging output FETI-DP operators	diagnostic		yes
